date,OPEN,HIGH,LOW,CLOSE,VOLUME,dividend,event_type,description
2022-12-23,137.49,138.26,136.81,137.94,22908110,3151110861.8,,
2022-12-26,138.33,141.0,138.0,140.95,49379370,6912819148.3,,
2022-12-27,141.31,142.0,139.6,139.9,41654530,5856965521.6,,
2022-12-28,139.73,140.4,138.6,139.51,28045010,3911970512.0,,
2022-12-29,139.5,141.65,139.22,140.96,32059860,4513089042.4,,
2022-12-30,140.8,141.48,140.13,141.15,28175080,3968971100.4,,
2023-01-03,141.6,143.25,141.56,141.78,21098550,3000247965.4,,
2023-01-04,141.85,142.28,140.75,141.43,17112740,2419428972.3,,
2023-01-05,141.6,141.84,140.54,141.27,17245300,2435171391.9,,
2023-01-06,141.39,141.62,140.9,141.4,10657600,1504730792.2,,
2023-01-09,141.83,142.99,141.65,142.4,31449160,4480148303.4,,
2023-01-10,142.1,142.85,141.31,142.81,23718180,3368938055.0,,
2023-01-11,142.97,149.98,142.87,149.96,123147040,18097145617.6,,
2023-01-12,150.02,150.79,148.39,149.3,46789300,6982668294.2,,
2023-01-13,149.58,153.28,147.71,151.69,88520210,13374657598.8,,
2023-01-16,152.89,154.0,151.88,153.71,51753920,7920014161.8,,
2023-01-17,154.0,154.31,150.01,150.45,84404770,12790444010.5,,
2023-01-18,150.4,153.0,149.41,151.47,67511970,10235015056.8,,
2023-01-19,151.2,152.85,148.56,149.34,66813960,10027708961.8,,
2023-01-20,149.7,151.4,148.64,151.38,44254820,6633881321.1,,
2023-01-23,151.9,154.1,151.01,153.5,55198870,8453400896.7,,
2023-01-24,153.95,155.58,152.28,152.66,78734130,12126204920.9,,
2023-01-25,152.45,153.6,151.5,152.81,43376700,6613609683.1,,
2023-01-26,153.32,154.3,151.73,152.4,45513320,6966980467.7,,
2023-01-27,152.4,153.48,151.69,153.2,34123690,5213964676.6,,
2023-01-30,153.5,153.88,152.21,153.38,31105220,4760702156.6,,
2023-01-31,153.51,158.18,153.3,158.07,77890320,12127748512.5,,
2023-02-01,158.2,159.6,156.5,158.29,66332200,10480709146.9,,
2023-02-02,158.4,160.29,157.37,159.45,53866380,8572049477.0,,
2023-02-03,159.1,162.32,157.88,161.26,63735330,10193999216.9,,
2023-02-06,161.78,167.17,161.01,167.09,89083530,14666403495.3,,
2023-02-07,167.3,168.7,163.4,165.39,92661570,15345906260.6,,
2023-02-08,165.0,166.35,162.7,164.15,58669030,9652989000.6,,
2023-02-09,164.33,167.47,161.27,165.31,107139220,17608882957.8,,
2023-02-10,165.0,166.49,164.5,165.52,40924680,6774229866.8,,
2023-02-13,165.2,166.88,164.17,164.32,36212200,5995183185.7,,
2023-02-14,164.3,164.38,161.64,161.86,58832960,9574244266.6,,
2023-02-15,160.94,161.12,153.83,156.25,113804160,17992861042.9,,
